Distnict,City
East Shewa,Boset
East Shewa,"Adama, Oromia, Ethiopia"
East Shewa,"Lome (OR), Oromia, Ethiopia"
East Shewa,"Gimbichu, Oromia, Ethiopia"
East Shewa,"Ada'a, Oromia, Ethiopia"
East Shewa,"Dugda, Oromia, Ethiopia"
East Shewa,Adama Tulu Jido Kombolcha
East Shewa,"Bishoftu town, Oromia, Ethiopia"
East Shewa,"Bora (OR), Oromia, Ethiopia"
East Shewa,Liben Chukala
East Shewa,Adama town
East Shewa,Mojo Town
East Shewa,Metehara town
Arsi,Merti
Arsi,Aseko
Arsi,Golocha
Arsi,Jeju
Arsi,Dodota
Arsi,Ziway Dugda
Arsi,Hitosa
Arsi,Sude
Arsi,Chole
Arsi,Amigna
Arsi,Seru
Arsi,Robe
Arsi,Tena
Arsi,Shirka
Arsi,Degeluna Tijo
Arsi,Tiyo
Arsi,Munessa
Arsi,Limu Bilbilo
Arsi,Guna
Arsi,Sire
Arsi,Lude Hitosa
Arsi,Diksis
Arsi,Bele Gesgar
Arsi,Inkolo Wabe
Arsi,Asela town
Arsi,Shanan Kolu
Arsi,Bekoji town
West Hararge,Mieso
West Hararge,Doba
West Hararge,Tulo (OR)
West Hararge,Mesela
West Hararge,"Chiro town, Oromia, Ethiopia"
West Hararge,Anchar
West Hararge,Goba Koricha
West Hararge,Habro
West Hararge,Daro Lebu
West Hararge,Boke
West Hararge,Kuni /Oda Bultum
West Hararge,Gemechis
West Hararge,Chiro Zuria
West Hararge,Bedesa
West Hararge,Hawi Gudina
West Hararge,Gumbi Bordede
West Hararge,Burqua Dhintu
East Hararge,"Babile town, Oromia, Ethiopia"
East Hararge,Kombolcha
East Hararge,Jarso (East Hararghe)
East Hararge,Gursum (OR)
East Hararge,Babile (OR)
East Hararge,Fedis
East Hararge,Haro Maya
East Hararge,Kurfa Chele
East Hararge,Kersa (East Hararge)
East Hararge,Meta
East Hararge,Goro Gutu
East Hararge,Deder
East Hararge,Melka Balo
East Hararge,Bedeno
East Hararge,Midhaga Tola
East Hararge,Chinaksen
East Hararge,Girawa
East Hararge,Golo Oda
East Hararge,Meyu Muleke
East Hararge,Haromaya town
East Hararge,Goro Muti
East Hararge,"Deder town, Oromia, Ethiopia"
East Hararge,Kumbi
East Hararge,Aweday town
Bale,Agarfa
Bale,Gasera
Bale,Sinana
Bale,Goba (OR)
Bale,Harena Buluk
Bale,Mena (Bale)
Bale,Meda Welabu
Bale,Berbere
Bale,Gura Damole
Bale,Goro (Bale)
Bale,Robe Town
Bale,Goba town
Bale,Dinsho
Borena,Yabelo
Borena,Arero
Borena,Moyale (OR)
Borena,"Dire, Oromia, Ethiopia"
Borena,Teltale
Borena,Miyo
Borena,Dilo
Borena,Dhas
Borena,Gomole
Borena,Guchi
Borena,Dubluk
Borena,Elwaya
Borena,Yabelo town
Borena,Wachile
South West Shewa,Ameya
South West Shewa,Wenchi
South West Shewa,Waliso
South West Shewa,Dawo
South West Shewa,Ilu
South West Shewa,Kersana Malima
South West Shewa,Tole
South West Shewa,Becho (SW Shewa)
South West Shewa,Seden Sodo
South West Shewa,Woliso town
South West Shewa,Goro (SW Shewa)
South West Shewa,Sodo Daci
Guji,Uraga
Guji,Bore
Guji,Adola
Guji,Wadera
Guji,Odo Shakiso
Guji,Liben
Guji,Dama
Guji,Arda Jila
Guji,Girja /Harenfema
Guji,Ana Sora
Guji,Saba Boru
Guji,Gora Dola
Guji,"Negele town, Oromia, Ethiopia"
Guji,Aga Wayu
